roman,devanagari
namaste,नमस्ते
bharat,भारत
shubhkamnayein,शुभकामनाएं
dhanyawad,धन्यवाद
kripya,कृपया
alvida,अलविदा
swagat,स्वागत
suprabhat,सुप्रभात
shubh,शुभ
raatri,रात्रि
thik,ठीक
hun,हूं
mera,मेर
naam,नाम्
kya,क्य
hai,है
kaun,कौन्
kyun,क्युन्
kaha,कह
kahan,कहन्
idhar,इधर्
udhar,उधर्
kabhi,कभि
nahi,नहि
kuch,कुच्
sab,सब्
koi,कोइ
kisi,किसि
kisko,किस्को
agar,अगर्
magar,मगर्
lekin,लेकिन्
kyunki,क्युन्कि
isliye,इस्लिये
bhi,भि
hi,हि
to,तो
tak,तक्
par,पर्
se,से
ne,ने
ko,को
mein,मेइन्
aur,और्
ya,य
fir,फ़िर्
phir,फिर्
sirf,सिर्फ़्
keval,केवल्
bahut,बहुत्
thoda,थोद
jyada,ज्यद
kam,कम्
achha,अछ
bura,बुर
khush,खुश्
dukhi,दुखि
naya,नय
purana,पुरन
bada,बद
chhota,छोत
lamba,लम्ब
chauda,चौद
patla,पत्ल
mota,मोत
garm,गर्म्
thanda,थन्द
din,दिन्
raat,रात्
subah,सुबह्
shaam,शाम्
aaj,आज्
kal,कल्
parso,पर्सो
abhi,अभि
baad,बाद्
pehle,पेह्ले
sath,सथ्
bina,बिन
door,दूर्
paas,पास्
upar,उपर्
niche,निचे
aage,आगे
pichhe,पिछे
andar,अन्दर्
bahar,बहर्
jaldi,जल्दि
dheere,धीरे
sach,सच्
jhuth,झुथ्
sahi,सहि
galat,गलत्
ha,ह
haan,हान्
ji,जि
na,न
nhi,न्हि
mat,मत्
kyu,क्यु
kaise,कैसे
kab,कब्
kidhar,किधर्
kaisa,कैस
kitna,कित्न
kitne,कित्ने
main,मैन्
mujhe,मुझे
meri,मेरि
hum,हुम्
humein,हुमेइन्
hamara,हमर
hamari,हमरि
tu,तु
tujhe,तुझे
tera,तेर
teri,तेरि
tum,तुम्
tumhe,तुम्हे
tumhara,तुम्हर
tumhari,तुम्हरि
aap,आप्
aapko,आप्को
aapka,आप्क
aapki,आप्कि
yeh,येह्
is,इस्
iske,इस्के
iski,इस्कि
isko,इस्को
isse,इस्से
in,इन्
inke,इन्के
inki,इन्कि
inko,इन्को
inse,इन्से
woh,वोह्
us,उस्
uske,उस्के
uski,उस्कि
usko,उस्को
usse,उस्से
un,उन्
unke,उन्के
unki,उन्कि
unko,उन्को
unse,उन्से
jana,जन
aana,आन
khana,खन
peena,पीन
sona,सोन
uthna,उथ्न
baithna,बैथ्न
chalna,चल्न
rukna,रुक्न
dekhna,देख्न
sunna,सुन्न
bolna,बोल्न
kehna,केह्न
karna,कर्न
hona,होन
dena,देन
lena,लेन
padhna,पध्न
likhna,लिख्न
khelna,खेल्न
hasna,हस्न
rona,रोन
samajhna,समझ्न
sochna,सोच्न
poochna,पूच्न
batana,बतन
milna,मिल्न
bhejna,भेज्न
lana,लन
rakhna,रख्न
chhodna,छोद्न
pakadna,पकद्न
bhagna,भग्न
daudna,दौद्न
girna,गिर्न
udna,उद्न
tैरna,त्ैरन
jeetna,जीत्न
harna,हर्न
darna,दर्न
bachna,बच्न
marna,मर्न
jeena,जीन
pyar,प्यर्
nafrat,नफ़्रत्
dost,दोस्त्
dosti,दोस्ति
dushman,दुश्मन्
dushmani,दुश्मनि
pariwar,परिवर्
ghar,घर्
makan,मकन्
shahar,शहर्
gaon,गओन्
desh,देश्
duniya,दुनिय
aasmaan,आस्मान्
dharti,धर्ति
pani,पनि
aag,आग्
hawa,हव
roshni,रोश्नि
andhera,अन्धेर
